file_id,hour,minute,second
17-48-08,17,48,08
17-48-11,17,48,11
17-48-13-1,17,48,13
17-48-13-2,17,48,13
17-48-15,17,48,15
17-48-18-1,17,48,18
17-48-18-2,17,48,18
17-48-22,17,48,22
17-48-25,17,48,25
17-48-27-1,17,48,27
17-48-27-2,17,48,27
17-48-39-1,17,48,39
17-48-39-2,17,48,39
17-48-43,17,48,43
17-48-55-1,17,48,55
17-48-55-2,17,48,55
17-49-02,17,49,02
17-49-03,17,49,03
17-49-13-1,17,49,13
17-49-13-2,17,49,13
17-49-22,17,49,22
17-49-24-1,17,49,24
17-49-24-2,17,49,24
17-49-31-1,17,49,31
17-49-31-2,17,49,31
17-49-54,17,49,54
17-50-00,17,50,00
17-50-01-1,17,50,01
17-50-01-2,17,50,01
17-50-06,17,50,06
17-50-11,17,50,11
17-50-17,17,50,17
17-50-19-1,17,50,19
17-50-19-2,17,50,19
17-50-26,17,50,26
17-50-35-1,17,50,35
17-50-35-2,17,50,35
17-50-38,17,50,38
17-50-46-1,17,50,46
17-50-46-2,17,50,46
17-50-56,17,50,56
17-50-57,17,50,57
17-50-58-1,17,50,58
17-50-58-2,17,50,58
17-51-01,17,51,01
17-51-10,17,51,10
17-51-16,17,51,16
17-51-21-1,17,51,21
17-51-21-2,17,51,21
17-51-24,17,51,24
17-51-26-1,17,51,26
17-51-26-2,17,51,26
17-51-36-1,17,51,36
17-51-36-2,17,51,36
17-51-39,17,51,39
17-51-41,17,51,41
17-51-42,17,51,42
17-51-43,17,51,43
17-51-44-1,17,51,44
17-51-44-2,17,51,44
17-51-44-3,17,51,44
17-51-46-1,17,51,46
17-51-46-2,17,51,46
17-51-47,17,51,47
17-51-48,17,51,48
17-51-49-1,17,51,49
17-51-49-2,17,51,49
17-51-49-3,17,51,49
17-51-50,17,51,50
17-51-53-1,17,51,53
17-51-53-2,17,51,53
17-51-57-1,17,51,57
17-51-57-2,17,51,57
17-52-00-1,17,52,00
17-52-00-2,17,52,00
17-52-00-3,17,52,00
17-52-04-1,17,52,04
17-52-04-2,17,52,04
17-52-07,17,52,07
17-52-09-1,17,52,09
17-52-09-2,17,52,09
17-52-14-1,17,52,14
17-52-14-2,17,52,14
17-52-18-1,17,52,18
17-52-18-2,17,52,18
17-52-21,17,52,21
17-52-24,17,52,24
17-52-25-1,17,52,25
17-52-25-2,17,52,25
17-52-27,17,52,27
17-52-29-1,17,52,29
17-52-29-2,17,52,29
17-52-30,17,52,30
17-52-31,17,52,31
17-52-34,17,52,34
17-52-37-1,17,52,37
17-52-37-2,17,52,37
17-52-37-3,17,52,37
17-52-41-1,17,52,41
17-52-41-2,17,52,41
17-52-44,17,52,44
17-52-47-1,17,52,47
17-52-47-2,17,52,47
17-52-48-1,17,52,48
17-52-48-2,17,52,48
17-52-51,17,52,51
17-52-54-1,17,52,54
17-52-54-2,17,52,54
17-52-57,17,52,57
17-53-13,17,53,13
17-53-15,17,53,15
17-53-25,17,53,25
17-53-28-1,17,53,28
17-53-28-2,17,53,28
17-53-34,17,53,34
17-53-42,17,53,42
17-53-51,17,53,51
17-53-55,17,53,55
17-53-58,17,53,58
17-54-05,17,54,05
17-54-09-1,17,54,09
17-54-09-2,17,54,09
17-54-24-1,17,54,24
17-54-24-2,17,54,24
17-54-26-1,17,54,26
17-54-26-2,17,54,26
17-54-28,17,54,28
17-54-29,17,54,29
17-54-35-1,17,54,35
17-54-35-2,17,54,35
17-54-38-1,17,54,38
17-54-38-2,17,54,38
17-54-44,17,54,44
17-54-45,17,54,45
17-54-46-1,17,54,46
17-54-46-2,17,54,46
17-54-50,17,54,50
17-54-52,17,54,52
17-54-55,17,54,55
17-54-56-1,17,54,56
17-54-56-2,17,54,56
17-54-59-1,17,54,59
17-54-59-2,17,54,59
17-55-06,17,55,06
17-55-08,17,55,08
17-55-21,17,55,21
17-55-22-1,17,55,22
17-55-22-2,17,55,22
17-55-24,17,55,24
17-55-25,17,55,25
17-55-30-1,17,55,30
17-55-30-2,17,55,30
17-55-32-1,17,55,32
17-55-32-2,17,55,32
17-55-34,17,55,34
17-55-36,17,55,36
17-55-39,17,55,39
17-55-42,17,55,42
17-55-43-1,17,55,43
17-55-43-2,17,55,43
17-55-46,17,55,46
17-55-47,17,55,47
17-55-50-1,17,55,50
17-55-50-2,17,55,50
17-55-53,17,55,53
17-55-54,17,55,54
17-56-03,17,56,03
17-56-05,17,56,05
17-56-06-1,17,56,06
17-56-06-2,17,56,06
17-56-10-1,17,56,10
17-56-10-2,17,56,10
17-56-11,17,56,11
17-56-14-1,17,56,14
17-56-14-2,17,56,14
17-56-16-1,17,56,16
17-56-16-2,17,56,16
17-56-16-3,17,56,16
17-56-18,17,56,18
17-56-19-1,17,56,19
17-56-19-2,17,56,19
17-56-21,17,56,21
17-56-23,17,56,23
17-56-26-1,17,56,26
17-56-26-2,17,56,26
17-56-27,17,56,27
17-56-29-1,17,56,29
17-56-29-2,17,56,29
17-56-31-1,17,56,31
17-56-31-2,17,56,31
17-56-33,17,56,33
17-56-38,17,56,38
17-56-40,17,56,40
17-56-46-1,17,56,46
17-56-46-2,17,56,46
17-56-49,17,56,49
17-56-53,17,56,53
17-56-56,17,56,56
17-57-01-1,17,57,01
17-57-01-2,17,57,01
17-57-06,17,57,06
17-57-07,17,57,07
17-57-10,17,57,10
17-57-19,17,57,19
17-57-23-1,17,57,23
17-57-23-2,17,57,23
17-57-26-1,17,57,26
17-57-26-2,17,57,26
17-57-30-1,17,57,30
17-57-30-2,17,57,30
17-57-32,17,57,32
17-57-42-1,17,57,42
17-57-42-2,17,57,42
17-57-47,17,57,47
17-57-52,17,57,52
17-57-53,17,57,53
17-58-07-1,17,58,07
17-58-07-2,17,58,07
17-58-07-3,17,58,07
17-58-10-1,17,58,10
17-58-10-2,17,58,10
17-58-11,17,58,11
17-58-14,17,58,14
17-58-16,17,58,16
17-58-17-1,17,58,17
17-58-17-2,17,58,17
17-58-22,17,58,22
17-58-25,17,58,25
17-58-29-1,17,58,29
17-58-29-2,17,58,29
17-58-29-3,17,58,29
17-58-30,17,58,30
17-58-31,17,58,31
17-58-35,17,58,35
17-58-38,17,58,38
17-58-41,17,58,41
17-58-42,17,58,42
17-58-45,17,58,45
17-58-49,17,58,49
17-58-53,17,58,53
17-58-58,17,58,58
17-59-06,17,59,06
17-59-12,17,59,12
17-59-13-1,17,59,13
17-59-13-2,17,59,13
